Solvent 1 (S1),S1 Weight %,Solvent 2 (S2),S2 Weight %,Salt 1,Salt1 Molality (mol salt/kg polymer),Temperature (K),Conductivity_test,Conductivity_pred,error
EMC,0.501890005,EC,0.334593336,LiPF6,1.286227345,243.14999999999998,1.381402,1.3795888739083138,0.001312526036364699
EMC,0.519650595,EC,0.34643373,LiPF6,1.017382507,323.15,13.815123999999999,12.585445117912524,0.08900961598951083
EMC,0.457213374,EC,0.304808916,LiPF6,2.054857149,253.14999999999998,1.45674,1.4038249134201142,0.03632431770932751
EMC,0.407913491,EC,0.407913491,LiPF6,1.485391631,303.15,9.857184,9.727443235306733,0.013162051625826088
EMC,0.39470436,EC,0.39470436,LiPF6,1.755300573,253.14999999999998,1.484595,1.7658982218083856,0.18948145575620656
EMC,0.499060091,EC,0.332706727,LiPF6,1.330831581,243.14999999999998,1.660915,1.3298570473241607,0.19932263401549102
EMC,0.456815779,EC,0.304543853,LiPF6,2.062372437,243.14999999999998,0.462485,0.6729875903686202,0.4551554977320783
EMC,0.564865524,EC,0.242085224,LiPF6,1.574106544,333.15,14.439771,15.424483198503754,0.06819444702438521
EMC,0.519167561,EC,0.346111707,LiPF6,1.02445094,273.15,5.317874,5.358005493332095,0.007546529559010776
EMC,0.394515658,EC,0.394515658,LiPF6,1.759287353,293.15,7.279225,7.403104738410225,0.017018259280380126
EMC,0.516550115,EC,0.344366743,LiPF6,1.06298298,323.15,10.883366,12.732866718442867,0.16993830019525824
EMC,0.453138062,EC,0.302092042,LiPF6,2.132513259,273.15,3.762906,3.4235271786724715,0.0901906189863708
EMC,0.53013867,EC,0.35342578,LiPF6,0.867082456,243.14999999999998,1.714057,1.72451326118157,0.006100299570883552
EMC,0.618150503,EC,0.264921644,LiPF6,0.871234005,333.15,12.879541,13.39249526267715,0.03982706081506709
EMC,0.472652424,EC,0.315101616,LiPF6,1.772808491,273.15,4.368409,4.172182670696165,0.04491940413634234
EMC,0.548475834,EC,0.235061072,LiPF6,1.817763732,253.14999999999998,1.835564,1.6814730305926626,0.08394747849017378
EMC,0.581749107,EC,0.249321046,LiPF6,1.337462867,253.14999999999998,2.478011,2.399750542394359,0.03158196537692575
EMC,0.652290485,EC,0.279553065,LiPF6,0.481256921,253.14999999999998,2.722753,2.546655634150276,0.06467621772879281
EMC,0.458862994,EC,0.458862994,LiPF6,0.589878647,243.14999999999998,1.8335730000000001,1.6941325152314104,0.07604850462380812
EMC,0.452609958,EC,0.301739972,LiPF6,2.142678775,263.15,2.5697900000000002,2.2451465198340754,0.12633074304356573
EMC,0.498188056,EC,0.332125371,LiPF6,1.344678468,333.15,12.709521,15.140437944925093,0.19126739276209487
EMC,0.54557433,EC,0.36371622,LiPF6,0.656391405,333.15,13.850012999999999,12.043946446439517,0.13040179482578698
EMC,0.498077079,EC,0.332051386,LiPF6,1.346444132,303.15,8.660592,9.835511727390438,0.13566275000490022
EMC,0.63494366,EC,0.272118712,LiPF6,0.674166957,313.15,9.697897000000001,9.774231864285372,0.007871280163665523
EMC,0.49030862,EC,0.326872413,LiPF6,1.472027768,313.15,11.648578,11.556302679218174,0.007921595303892609
EMC,0.603140191,EC,0.258488653,LiPF6,1.056667548,333.15,14.409178,14.253538406089268,0.010801420727173534
EMC,0.379891264,EC,0.379891264,LiPF6,2.08031126,273.15,3.3100709999999998,3.523982215066689,0.0646243585308863
EMC,0.4546741,EC,0.303116067,LiPF6,2.10308021,273.15,3.997333,3.4797514924318618,0.12948170882139118
EMC,0.453361719,EC,0.302241146,LiPF6,2.128215218,303.15,8.596558,8.1984597037928,0.04630903394209638
EMC,0.550414243,EC,0.235891818,LiPF6,1.78818979,323.15,12.604206999999999,13.172674321884802,0.0451013952630898
EMC,0.432727786,EC,0.432727786,LiPF6,1.022901868,293.15,8.591814999999999,8.169147381330982,0.0491942178304604
EMC,0.565702729,EC,0.242444027,LiPF6,1.562039251,243.14999999999998,1.2848950000000001,1.0756112354629863,0.16288005209531814
EMC,0.548106084,EC,0.234902608,LiPF6,1.823428693,273.15,4.313576,4.06076598730318,0.058607988522010664
EMC,0.519071358,EC,0.346047572,LiPF6,1.025860286,243.14999999999998,1.625524,1.6332021955875402,0.004723520284868287
EMC,0.407724789,EC,0.407724789,LiPF6,1.489124332,263.15,3.042542,3.3865885024792335,0.11307863703417517
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,273.15,5.207817,5.359287656451384,0.02908524943395355
EMC,0.55894098,EC,0.37262732,LiPF6,0.483343241,253.14999999999998,2.1759399999999998,2.550795113937522,0.17227272532216986
EMC,0.544952709,EC,0.363301806,LiPF6,0.664645648,253.14999999999998,2.914833,2.798251641669367,0.039995896276264466
EMC,0.479735014,EC,0.319823342,LiPF6,1.649494301,313.15,11.644002,11.37469780383988,0.023128147535539843
EMC,0.602573113,EC,0.25824562,LiPF6,1.063854184,233.14999999999998,1.131931,0.6159078355803544,0.4558786396164126
EMC,0.528566049,EC,0.226528307,LiPF6,2.134079527,323.15,12.175908,12.25994871897879,0.0069022136976389
EMC,0.433010839,EC,0.433010839,LiPF6,1.017932087,303.15,10.446228,9.617929204852802,0.07929166347385852
EMC,0.550292781,EC,0.235839763,LiPF6,1.790036783,263.15,2.90631,2.817091132492378,0.03069833139191001
EMC,0.489934571,EC,0.326623047,LiPF6,1.478175078,243.14999999999998,1.068535,1.1653170202746383,0.09057449711487067
EMC,0.499028031,EC,0.332685354,LiPF6,1.331339796,263.15,3.7011000000000003,3.6670066879977243,0.009211670044655897
EMC,0.549867473,EC,0.235657488,LiPF6,1.796510647,243.14999999999998,0.948375,0.8563667249412037,0.09701676558196523
EMC,0.455427759,EC,0.303618506,LiPF6,2.088711437,323.15,11.592831,12.405483399770004,0.07009956409870925
EMC,0.417914689,EC,0.417914689,LiPF6,1.292381815,273.15,4.923913000000001,5.125319097174868,0.04090366689559049
